date,hs300_benchmark_nav,baseline_nav,own_vol_pct_penalty_nav,own_vol_pct_divisor_nav,own_vol_pct_cap_nav
2012-05-28,1.0,1.0,1.0,1.0,1.0
2012-05-29,1.0153609831029187,1.0,1.0,1.0,1.0
2012-05-30,1.012288786482335,1.0,1.0,1.0,1.0
2012-05-31,1.009984639016897,1.0,1.0,1.0,1.0
2012-06-01,1.009984639016897,1.0,1.0,1.0,1.0
2012-06-04,0.9823348694316433,1.0,1.0,1.0,1.0
2012-06-05,0.9834869431643621,1.0,1.0,1.0,1.0
2012-06-06,0.9827188940092163,1.0,1.0,1.0,1.0
2012-06-07,0.9765745007680489,1.0,1.0,1.0,1.0
2012-06-08,0.973118279569892,1.0,1.0,1.0,1.0
2012-06-11,0.9846390168970811,1.0,1.0,1.0,1.0
2012-06-12,0.9784946236559137,1.0,1.0,1.0,1.0
2012-06-13,0.9927035330261134,1.0,1.0,1.0,1.0
2012-06-14,0.9884792626728107,1.0,1.0,1.0,1.0
2012-06-15,0.9923195084485404,1.0,1.0,1.0,1.0
2012-06-18,0.9953917050691242,1.0,1.0,1.0,1.0
2012-06-19,0.9880952380952378,1.0,1.0,1.0,1.0
2012-06-20,0.9869431643625188,1.0,1.0,1.0,1.0
2012-06-21,0.9715821812596002,1.0,1.0,1.0,1.0
2012-06-25,0.952380952380952,1.0,1.0,1.0,1.0
2012-06-26,0.952380952380952,1.0,1.0,1.0,1.0
2012-06-27,0.9489247311827954,1.0,1.0,1.0,1.0
2012-06-28,0.9435483870967738,1.0,1.0,1.0,1.0
2012-06-29,0.9543010752688166,1.0,1.0,1.0,1.0
2012-07-02,0.9543010752688166,1.0,1.0,1.0,1.0
2012-07-03,0.9558371735791084,1.0,1.0,1.0,1.0
2012-07-04,0.9558371735791084,1.0,1.0,1.0,1.0
2012-07-05,0.9450844854070652,1.0,1.0,1.0,1.0
2012-07-06,0.9604454685099839,1.0,1.0,1.0,1.0
2012-07-09,0.9412442396313357,1.0,1.0,1.0,1.0
2012-07-10,0.937403993855606,1.0,1.0,1.0,1.0
2012-07-11,0.9416282642089089,1.0,1.0,1.0,1.0
2012-07-12,0.9500768049155144,1.0,1.0,1.0,1.0
2012-07-13,0.9516129032258063,1.0,1.0,1.0,1.0
2012-07-16,0.9362519201228873,1.0,1.0,1.0,1.0
2012-07-17,0.938172043010752,1.0,1.0,1.0,1.0
2012-07-18,0.938172043010752,1.0,1.0,1.0,1.0
2012-07-19,0.9412442396313355,1.0,1.0,1.0,1.0
2012-07-20,0.934331797235022,1.0,1.0,1.0,1.0
2012-07-23,0.9228110599078332,1.0,1.0,1.0,1.0
2012-07-24,0.9247311827956979,1.0,1.0,1.0,1.0
2012-07-25,0.9189708141321034,1.0,1.0,1.0,1.0
2012-07-26,0.9147465437788008,1.0,1.0,1.0,1.0
2012-07-27,0.9158986175115197,1.0,1.0,1.0,1.0
2012-07-30,0.9128264208909359,1.0,1.0,1.0,1.0
2012-07-31,0.9105222734254982,1.0,1.0,1.0,1.0
2012-08-01,0.9174347158218115,1.0,1.0,1.0,1.0
2012-08-02,0.9105222734254982,1.0,1.0,1.0,1.0
2012-08-03,0.9158986175115196,1.0,1.0,1.0,1.0
2012-08-06,0.9278033794162818,1.0,1.0,1.0,1.0
2012-08-07,0.9289554531490006,1.0,1.0,1.0,1.0
2012-08-08,0.9297235023041465,1.0,1.0,1.0,1.0
2012-08-09,0.9389400921658977,1.0,1.0,1.0,1.0
2012-08-10,0.936251920122887,1.0,1.0,1.0,1.0
2012-08-13,0.9185867895545305,1.0,1.0,1.0,1.0
2012-08-14,0.9170506912442387,1.0,1.0,1.0,1.0
2012-08-15,0.9086021505376335,1.0,1.0,1.0,1.0
2012-08-16,0.9059139784946227,1.0,1.0,1.0,1.0
2012-08-17,0.9020737327188931,1.0,1.0,1.0,1.0
