date,legacy_nav,risk_weighted_nav,portfolio_weighted_nav,hs300_benchmark
2012-05-28,1.0,1.0,1.0,1.0
2012-05-29,1.0,1.0,1.0,1.0153609831029187
2012-05-30,1.0,1.0,1.0,1.012288786482335
2012-05-31,1.0,1.0,1.0,1.009984639016897
2012-06-01,1.0,1.0,1.0,1.009984639016897
2012-06-04,1.0,1.0,1.0,0.9823348694316433
2012-06-05,1.0,1.0,1.0,0.9834869431643621
2012-06-06,1.0,1.0,1.0,0.9827188940092163
2012-06-07,1.0,1.0,1.0,0.9765745007680489
2012-06-08,1.0,1.0,1.0,0.973118279569892
2012-06-11,1.0,1.0,1.0,0.9846390168970811
2012-06-12,1.0,1.0,1.0,0.9784946236559137
2012-06-13,1.0,1.0,1.0,0.9927035330261134
2012-06-14,1.0,1.0,1.0,0.9884792626728107
2012-06-15,1.0,1.0,1.0,0.9923195084485404
2012-06-18,1.0,1.0,1.0,0.9953917050691242
2012-06-19,1.0,1.0,1.0,0.9880952380952378
2012-06-20,1.0,1.0,1.0,0.9869431643625188
2012-06-21,1.0,1.0,1.0,0.9715821812596002
2012-06-25,1.0,1.0,1.0,0.952380952380952
2012-06-26,1.0,1.0,1.0,0.952380952380952
2012-06-27,1.0,1.0,1.0,0.9489247311827954
2012-06-28,1.0,1.0,1.0,0.9435483870967738
2012-06-29,1.0,1.0,1.0,0.9543010752688166
2012-07-02,1.0,1.0,1.0,0.9543010752688166
2012-07-03,1.0,1.0,1.0,0.9558371735791084
2012-07-04,1.0,1.0,1.0,0.9558371735791084
2012-07-05,1.0,1.0,1.0,0.9450844854070652
2012-07-06,1.0,1.0,1.0,0.9604454685099839
2012-07-09,1.0,1.0,1.0,0.9412442396313357
2012-07-10,1.0,1.0,1.0,0.937403993855606
2012-07-11,1.0,1.0,1.0,0.9416282642089089
2012-07-12,1.0,1.0,1.0,0.9500768049155144
2012-07-13,1.0,1.0,1.0,0.9516129032258063
2012-07-16,1.0,1.0,1.0,0.9362519201228873
2012-07-17,1.0,1.0,1.0,0.938172043010752
2012-07-18,1.0,1.0,1.0,0.938172043010752
2012-07-19,1.0,1.0,1.0,0.9412442396313355
2012-07-20,1.0,1.0,1.0,0.934331797235022
2012-07-23,1.0,1.0,1.0,0.9228110599078332
2012-07-24,1.0,1.0,1.0,0.9247311827956979
2012-07-25,1.0,1.0,1.0,0.9189708141321034
2012-07-26,1.0,1.0,1.0,0.9147465437788008
2012-07-27,1.0,1.0,1.0,0.9158986175115197
2012-07-30,1.0,1.0,1.0,0.9128264208909359
2012-07-31,1.0,1.0,1.0,0.9105222734254982
2012-08-01,1.0,1.0,1.0,0.9174347158218115
2012-08-02,1.0,1.0,1.0,0.9105222734254982
2012-08-03,1.0,1.0,1.0,0.9158986175115196
2012-08-06,1.0,1.0,1.0,0.9278033794162818
2012-08-07,1.0,1.0,1.0,0.9289554531490006
2012-08-08,1.0,1.0,1.0,0.9297235023041465
2012-08-09,1.0,1.0,1.0,0.9389400921658977
2012-08-10,1.0,1.0,1.0,0.936251920122887
2012-08-13,1.0,1.0,1.0,0.9185867895545305
2012-08-14,1.0,1.0,1.0,0.9170506912442387
2012-08-15,1.0,1.0,1.0,0.9086021505376335
2012-08-16,1.0,1.0,1.0,0.9059139784946227
2012-08-17,1.0,1.0,1.0,0.9020737327188931
2012-08-20,1.0,1.0,1.0,0.8970814132104444
2012-08-21,1.0,1.0,1.0,0.9005376344086012
2012-08-22,1.0,1.0,1.0,0.8940092165898608
2012-08-23,1.0,1.0,1.0,0.8982334869431634
2012-08-24,1.0,1.0,1.0,0.8894009216589852
2012-08-27,1.0,1.0,1.0,0.8709677419354829
2012-08-28,1.0,1.0,1.0,0.8709677419354829
2012-08-29,1.0,1.0,1.0,0.8652073732718885
2012-08-30,1.0,1.0,1.0,0.8613671274961587
2012-08-31,1.0,1.0,1.0,0.8613671274961587
2012-09-03,1.0,1.0,1.0,0.8667434715821803
2012-09-04,1.0,1.0,1.0,0.857526881720429
2012-09-05,1.0,1.0,1.0,0.8571428571428563
2012-09-06,1.0,1.0,1.0,0.8655913978494612
2012-09-07,1.0,1.0,1.0,0.9051459293394766
2012-09-10,1.0,1.0,1.0,0.9082181259600604
2012-09-11,1.0,1.0,1.0,0.9013056835637469
2012-09-12,1.0,1.0,1.0,0.9059139784946224
2012-09-13,1.0,1.0,1.0,0.8970814132104441
2012-09-14,1.0,1.0,1.0,0.9032258064516115
2012-09-17,1.0,1.0,1.0,0.8821044546850986
2012-09-18,1.0,1.0,1.0,0.8713517665130556
