date,action,code,theme,name,from_exposure,to_exposure,nav
2012-10-19,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9995
2012-10-22,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9990002500000001
2012-12-17,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0014179056551025
2013-02-22,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0829732465359618
2013-05-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0824317599126938
2013-05-30,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0934792721249018
2013-06-03,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0950302916682806
2013-06-04,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0944827765224465
2013-08-02,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0920313827666759
2013-08-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0914853670752926
2013-08-13,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.090939624391755
2013-08-16,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.075444837129985
2013-08-26,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0988246029292177
2013-08-28,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.098275190627753
2013-09-03,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.11440741137316
2013-09-06,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.1032401722433614
2013-09-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.1032401722433614
2013-09-10,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.1233355495222062
2013-09-10,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1233355495222062
2013-09-18,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0978599205196597
2013-09-18,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.0978599205196597
2013-09-24,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.094990794258929
2013-09-24,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.094990794258929
2013-09-26,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0882198173546107
2013-09-26,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.0882198173546107
2013-10-09,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.0883170707959222
2013-10-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0883170707959222
2013-10-10,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0833421299985888
2013-10-10,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.0833421299985888
2013-10-14,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.0775334612901504
2013-10-14,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0775334612901504
2013-10-17,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0529444493945754
2013-10-17,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.0529444493945754
2013-10-22,SELL,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.0563245047590313
2013-10-22,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0563245047590313
2013-10-23,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0614302258467496
2013-10-23,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.5,1.0614302258467496
2013-10-24,REDUCE,518880,黄金ETF,黄金ETF华安,0.5,0.0,1.0611648682902879
2013-10-30,ADD,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.0574190246637027
2013-10-31,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0568903151513709
2013-11-01,ADD,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.0519148816394395
2013-11-05,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0441156726092367
